feature,importance
win4_z_max,1.3845957247629563
peak_top2_prominence,1.2230197916627012
cfar_corr_data,1.2093204056821423
win4_peak_count,1.149496703952998
distnorm_raw_rms_times_r2,1.1435109364209768
spec_energy_0.05_0.12,1.05009196139215
spec_energy_0.25_0.50,1.0136372645944554
peak_top5_idx_rel,1.0060064701220455
peak_top1_top2_gap_rel,0.9573168685860729
win2_peak_count,0.9553775974296284
win5_z_max,0.9363661948297298
distnorm_raw_max_times_r2,0.891440645347339
win2_z_max,0.8823621447487775
peak_top2_to_top1_ratio,0.8393880096916975
peak_top_spacing_std_rel,0.7893750572117986
peak_top5_z,0.7721596340769585
win2_raw_max,0.7352957032386745
z_p98,0.7023800916633844
distnorm_cfar_margin_times_r2,0.6919972242874836
spec_energy_0.00_0.05,0.6675796922508299
win4_raw_max,0.6668458931455087
peak_top5_to_top1_ratio,0.6304689454475167
z_p10,0.6237808756050374
peak_top4_idx_rel,0.6186007816873715
spec_entropy,0.6113509011992122
win5_energy_share,0.6006388779572861
peak_prominence_mean,0.599375659426463
cfar_z_skew,0.5905172188709283
win3_peak_count,0.5889511481955128
win1_peak_count,0.5787314923841703
cfar_residual_max,0.5694250084392475
peak_prominence_sum,0.5636647562548475
raw_max,0.5354314875052688
z_crest_factor,0.5269101985374427
peak_width_mean_rel,0.5173817065623887
cfar_exceed_count,0.5128992260034414
cfar_exceed_frac,0.5128857077971134
cfar_data_over_threshold_max,0.49206155436890286
peak_top_spacing_min_rel,0.49132353823481134
win3_residual_share,0.48483079203018503
peak_top2_z,0.4811064647907677
spec_energy_0.12_0.25,0.4618429648145487
win5_raw_max,0.45698030116206667
peak_top3_idx_rel,0.45366818523947217
peak_top2_cfar_margin_z,0.45013200489215605
peak_top4_z,0.4477242677441618
win_front_back_max_z_ratio,0.44530071005293353
spec_bandwidth,0.41938323758444596
win2_residual_share,0.4060915818534355
raw_std,0.40575624151962036
peak_top1_raw,0.40130982790838
raw_diff_std,0.3990527203891794
peak_top_spacing_mean_rel,0.38853448350221725
win1_z_max,0.37922024046709185
raw_rms,0.3734387362038796
cfar_exceed_span_rel,0.37250746018280334
win4_energy_share,0.36782908626233024
win1_residual_share,0.3665854371510803
cfar_last_exceed_idx_rel,0.3654749693657643
win4_residual_share,0.35959673377428425
shape_entropy,0.3591153116212845
z_total_variation,0.35558427334361675
peak_top4_raw,0.35399223574081223
peak_top4_to_top1_ratio,0.3476367120048439
cfar_exceed_area,0.34197928533266764
cfar_z_iqr,0.3415850735150566
cfar_z_p75,0.3415850735150491
peak_top3_z,0.3380691145084996
peak_top_spacing_max_rel,0.3377686925083433
z_p90,0.3372633846119357
raw_crest_factor,0.33188094652777406
raw_p10,0.32534908599404627
peak_top1_prominence,0.32048129719931784
win3_energy_share,0.3187044505700843
peak_top5_raw,0.317604519727967
peak_prominence_max,0.30965690467113216
win3_z_max,0.29182647267432155
z_skew,0.28678868560916704
raw_skew,0.28678868560916565
z_diff_std,0.2846846918573298
win2_energy_share,0.268234462038612
win_mid_to_early_energy,0.2679740988189103
win3_residual_mean_z,0.2608138884522244
cfar_z_p90,0.2590055133354835
peak_density_prom1,0.25872604520502995
peak_count_prom1,0.25868007221901607
peak_top1_data_over_cfar,0.252785179408486
win2_residual_mean_z,0.2456737614729146
peak_top5_cfar_margin_z,0.24509041063063913
peak_top3_to_top1_ratio,0.24404271965891872
peak_top5_prominence,0.24161385823725032
z_autocorr1,0.23929244043560816
raw_autocorr1,0.23929244043079953
peak_width_max_rel,0.23480162470882474
peak_top2_raw,0.2329912403590632
win1_energy_share,0.21359418050258314
peak_top2_data_over_cfar,0.21322580179404546
peak_top3_raw,0.20601170687439985
win4_residual_mean_z,0.2057201969539135
raw_p25,0.2056159924549587
cfar_z_kurtosis,0.20541882984074195
raw_p98,0.20211532077981742
z_std,0.20103243256548944
z_rms,0.19599108932615172
z_iqr,0.1928217438052447
z_min,0.1865598628905821
peak_top3_cfar_margin_z,0.18616024347593232
raw_abs_area,0.18544998936879598
raw_mean,0.18544998936879598
z_max,0.18139483190405792
win_late_to_early_energy,0.17759705729033956
win1_residual_mean_z,0.1727989279560075
z_p75,0.17122208346855977
peak_top4_data_over_cfar,0.1663494445589693
peak_top3_data_over_cfar,0.16556774422518836
win5_peak_count,0.16284973224812443
peak_top4_cfar_margin_z,0.1580673534309919
z_p02,0.15674905544121084
peak_top4_prominence,0.15567808893183666
cfar_residual_mad,0.14801278117229252
cfar_max_margin_z,0.14688871016179206
raw_total_variation,0.14543357847110477
cfar_mad,0.14415496235288
spec_centroid,0.14328423274712782
peak_top3_prominence,0.14045172915190143
raw_p90,0.1365931498335099
peak_top1_cfar_margin_z,0.13366223893901386
z_abs_area,0.12408849581160328
peak_top1_idx_rel,0.11840180360299647
cfar_mean,0.11677655374577872
z_mean,0.11334125236104253
cfar_z_max,0.08875976048093803
cfar_z_total_variation,0.08873706148918789
cfar_z_diff_std,0.0886630684769798
cfar_z_std,0.08585935210643802
cfar_z_rms,0.08485525353702908
cfar_std,0.08394815617825084
win_late_to_early_residual,0.07348809370558884
raw_p02,0.07120665460030577
cfar_z_autocorr1,0.07029368222715211
raw_median,0.06548871315261226
peak_top1_z,0.06309024318951478
win5_residual_mean_z,0.06138273387336734
cfar_z_p98,0.05999292772457854
n_samples,0.05193543215672043
cfar_data_over_threshold_mean,0.05150445919956581
cfar_z_abs_area,0.050771796899915726
cfar_z_mean,0.05077179689991466
cfar_z_crest_factor,0.04558680178386944
peak_top5_data_over_cfar,0.043514124210224034
cfar_residual_mean,0.04166019999445234
raw_kurtosis,0.04021174448905403
z_kurtosis,0.040211744489053555
raw_iqr,0.03778995129288191
cfar_first_exceed_idx_rel,0.029467832742860394
raw_mad,0.023887922154898815
cfar_residual_std,0.022555129938305808
cfar_exceed_area_z,0.022181856413836607
win3_raw_max,0.018880776024712748
cfar_z_mad,0.01850744101597971
cfar_z_p25,0.018507441015979408
cfar_z_p02,0.018507441015979408
cfar_z_min,0.018507441015979408
cfar_z_p10,0.018507441015979408
win5_residual_share,0.016799466619258498
win1_raw_max,0.012629620741424135
peak_top2_idx_rel,0.009304718450025054
raw_p75,0.006331530696491807
raw_min,0.005144403349228437
z_p25,0.0016399711113968627
z_mad,6.0523572039607e-14
z_median,0.0
cfar_z_median,0.0
